title,journal,yearfunded,articles,IF,ISSN,volumes
Solids,solids,2020,79,NA,2673-6497,3
Spectroscopy Journal,spectroscj,2023,2,NA,2813-446X,NA
Sports,sports,2013,NA,NA,2075-4663,11
Standards,standards,2021,53,NA,2305-6703,2
Stats,stats,2018,247,NA,2571-905X,5
Stresses,stresses,2021,83,NA,2673-7140,2
Surfaces,surfaces,2018,167,NA,2571-9637,5
Surgeries,surgeries,2020,99,NA,2673-4095,3
Surgical Techniques Development,std,2011,76,NA,2038-9582,11
Sustainability,sustainability,2009,NA,3.889,2071-1050,15
Sustainable Chemistry,suschem,2020,104,NA,2673-4079,3
Symmetry,symmetry,2009,NA,2.94,2073-8994,15
SynBio,synbio,2023,7,NA,2674-0583,NA
Systems,systems,2013,783,2.895,2079-8954,11
Targets,targets,2023,1,NA,2813-3137,NA
Taxonomy,taxonomy,2021,74,NA,2673-6500,2
Technologies,technologies,2013,709,NA,2227-7080,11
Telecom,telecom,2020,97,NA,2673-4001,3
Textiles,textiles,2021,78,NA,2673-7248,2
Thalassemia Reports,thalassrep,2011,236,NA,2039-4365,12
Thermo,thermo,2021,63,NA,2673-7264,2
Tomography,tomography,2015,584,3,2379-139X,9
Tourism and Hospitality,tourismhosp,2020,94,NA,2673-5768,3
Toxics,toxics,2013,NA,4.472,2305-6304,11
Toxins,toxins,2009,NA,5.075,2072-6651,15
Transplantology,transplantology,2020,93,NA,2673-3943,3
Trauma Care,traumacare,2021,72,NA,2673-866X,2
Trends in Higher Education,higheredu,2022,15,NA,2813-4346,1
Tropical Medicine and Infectious Disease,tropicalmed,2016,NA,3.711,2414-6366,8
Universe,universe,2015,NA,2.813,2218-1997,9
Urban Science,urbansci,2017,572,NA,2413-8851,6
Uro,uro,2021,70,NA,2673-4397,2
Vaccines,vaccines,2013,NA,4.961,2076-393X,11
Vehicles,vehicles,2019,188,NA,2624-8921,4
Venereology,venereology,2022,23,NA,2674-0710,1
Veterinary Sciences,vetsci,2014,NA,2.518,2306-7381,10
Vibration,vibration,2018,195,NA,2571-631X,5
Virtual Worlds,virtualworlds,2022,12,NA,2813-2084,1
Viruses,viruses,2009,NA,5.818,1999-4915,15
Vision,vision,2017,340,NA,2411-5150,6
Waste,waste,2023,20,NA,2813-0391,NA
Water,water,2009,NA,3.53,2073-4441,15
Wind,wind,2021,54,NA,2674-032X,2
Women,women,2021,70,NA,2673-4184,2
World,world,2020,124,NA,2673-4060,3
 World Electric Vehicle Journal,wevj,2007,NA,NA,2032-6653,14
Youth,youth,2021,82,NA,2673-995X,2
Zoonotic Diseases,zoonoticdis,2021,34,NA,2813-0227,2
